R01A01,"instruction fetch, instruction prefetch",instruction fetch stage," Instruction cache,Branch prediction,Program counter, Pipeline stage,Instruction buffer, Address generation, Speculative execution, Multi-threading
,Trace cache, Instruction alignment"
R01A02,branch prediction,"conditional move instruction, branch delay slot, branch prediction buffer, branch history table, dynamic branch prediction, branch target buffer, correlating predictor, tournament branch prediction","Branch target prediction, Branch history table, Program counter prediction, Two-level branch predictor, Global history buffer, Branch direction predictor, Pattern history table, Correlation-based predictor, Hybrid branch predictor, Adaptive branch prediction"
R01A03,"decoding instruction, pre-decoding instruction, instruction decode",,"Instruction set architecture, Operand forwarding,  Control hazard detection,  Register renaming, Micro-operations cache, Instruction alignmen,  Static branch prediction, Disambiguation logic, Instruction queue, Operand cache"
R01A04,register renaming,"structural hazard, data hazard, pipeline data hazard, load-use data hazard, pipeline stall, control hazard, branch hazard, stall, delayed decision, delayed branch, predict"," Data forwarding, Instruction reordering,  Pipeline stalling,  Out-of-order execution, Speculative execution
,Scoreboarding
, Tomasulo algorithm, Register renaming
, Load/store queue
, Reorder buffer
"
R01A05,"instruction dispatch, dispatch scheduler, round-robin method","instruction dispatch, dispatch scheduler","Instruction window
, Micro-operation queue
, Retirement register file
, Instruction grouping
, Dispatch logic
,  Instruction cache
, Pipeline stage
,  Execution unit
, Reservation station
,  Out-of-order execution"
R01A06,"instruction issuing, instruction scheduling, pipeline scheduling","instruction issuing, instruction scheduling","Instruction scheduling
, Scoreboarding
, Reservation station
, Dispatch unit
, Register renaming
, Out-of-order execution
, Instruction cache
,  Speculative execution
, Operand forwarding
, Operand cache"
R01A07,"arithmetic instruction, logical instruction; Adding, Subtraction, Multiplying, Dividing","arithmetic logic unit, ALU","Execution unit
, Arithmetic logic unit
, Floating-point unit
, Multimedia extension unit
,  Vector processing unit
,  Shifter unit
,  Barrel shifter
, Bitwise logic unit
, Branch execution unit
, Memory management unit
"
R01A08,"bypass, data hazard, pipeline latency","forwarding logic, pipeline latency "," Interconnect fabric
, Data forwarding path
, Load/store forwarding
, Operand bypassing
, Out-of-order execution
,  Speculative execution
,  Reorder buffer
, Scoreboarding
, Execution unit
,  Pipeline interlock"
R01A09,"out-of-order, re-order",,"Instruction retirement
, Reorder buffer
, Instruction commit
, Commit unit
, Register renaming
,  Pipeline interlock
, Memory consistency model
, Speculative execution
, Checkpointing mechanism
,  Fault tolerance"
R01A10,"memory address translation, virtual memory address, physical memory address, page table, TLB",,"Virtual memory system,  Page table walk
, Translation lookaside buffer
, Address translation caching
,  Memory protection mechanism
, Memory segmentation
, TLB miss handling
,  Page fault handling
, Memory protection key
, Page table entry cache
"
R01A11,"load unit, load queue, store unit, store queue, store buffer",,"Memory access unit
, Data cache access
, Address generation unit
, Memory order buffer
, Memory consistency model
, Memory dependence prediction
, Memory coalescing
, Load-to-use latency
, Memory barrier instruction
,  Memory access contention"
R01A12,"roll back, snapshot, error recovery, restarting pipeline, branch miss-prediction",,"Exception recovery
, Pipeline recovery
,  Rollback mechanism
, Error correction code
, Checkpointing mechanism
, Speculative execution
, Error detection circuit
,  Instruction retry
,  Fault tolerance
,  Redundancy mechanism
"
R01A13,"exception handling, program instruction",,"Interrupt handling
, Fault handling
, Exception recovery
, Exception dispatch
, Exception stack
, Exception vector
,  Exception mask
, Exception handler
, Program counter adjustment
,  Exception cause register
"
R01A14,"interrupt handling, interrupt controller",," Interrupt controller
,  Interrupt service routine
, Interrupt prioritization
, Interrupt masking
, Interrupt dispatching
,  Interrupt request (IRQ)
,  Interrupt vector table
,  Nested interrupt handling
, Interrupt latency
, Interrupt processing pipeline"
R01A15,"register file, register bank, banked register, distributed register","in behavioral verilog, register file, ","General-purpose register file
, Special-purpose register file
, Vector register file
, Floating-point register file
,  Multi-port register file
, Shadow register file
, Banked register file
, Register renaming scheme
, Register file access timing
,  Register file coalescing"
R01B01,"cache coherence, cache coherency, bus snooping, bus sniffing, directory-based cache, snoopy protocols, snoop filter, data uniformity, simultaneous storing","cache consistency, cache enforcement schemes, cache implement techniques, cache migration, cache problem, cache protocol example, cache protocols, cache replication, cache snooping protocol, cache snoopy, cache statediagram, write invalidate protocol","Cache coherence
,  Coherent interconnect
,  Coherence protocol
,  Directory-based coherence
, Snooping-based coherence
,  Coherent shared memory
,  Coherent I/O transactions
, Incoherent access detection
, Coherent memory transactions
,  Coherence miss handling
"
R01B02,,atomicimplementing,", Atomic instruction
, Atomic memory access
, Atomic transactional memory
,  Atomic compare-and-swap 
, Atomic fetch-and-add 
, Atomic swap operation
,  Multi-core atomicity
,  Strong atomicity
, Weak atomicity
, Non-blocking atomic operation"
R01B03,catch prefetch,"Prefetching,DRAM(?), software prefetching, memory affinity","Hardware prefetching
,  Prefetch buffer
, Prefetching algorithm
, Adaptive prefetching
, Sequential prefetching
, Stream prefetching
,  Prefetching data cache
, Prefetching instruction cache
,  Prefetch accuracy
,  Prefetching based on access patterns"
